"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 22 17:16:27 GMT+03:00 2022","Tue Nov 22 17:17:00 GMT+03:00 2022","32852","","com.igorsbox.ForwardCDEKClient.ForwardCDEKPageObjectTest","","com.igorsbox.ForwardCDEKClient.ForwardCDEKPageObjectTest","addIncomingPackage","Добавление ожидаемой посылки",""
"passed","Tue Nov 22 17:15:52 GMT+03:00 2022","Tue Nov 22 17:16:06 GMT+03:00 2022","13534","","com.igorsbox.ForwardCDEKClient.ForwardCDEKPageObjectTest","","com.igorsbox.ForwardCDEKClient.ForwardCDEKPageObjectTest","registrationClientWithoutReferralLink","Регистрация клиента без реферального кода",""
"passed","Tue Nov 22 17:16:06 GMT+03:00 2022","Tue Nov 22 17:16:18 GMT+03:00 2022","12116","","com.igorsbox.ForwardCDEKClient.ForwardCDEKPageObjectTest","","com.igorsbox.ForwardCDEKClient.ForwardCDEKPageObjectTest","successfulAuthorisationClient","Успешная авторизация клиента",""
"passed","Tue Nov 22 17:18:29 GMT+03:00 2022","Tue Nov 22 17:18:42 GMT+03:00 2022","12961","","com.igorsbox.ForwardCDEKClient.ForwardCDEKPageObjectTest","","com.igorsbox.ForwardCDEKClient.ForwardCDEKPageObjectTest","acceptOutgoingPackage","Взятие в обработку исходящей посылки",""
"passed","Tue Nov 22 17:17:13 GMT+03:00 2022","Tue Nov 22 17:17:22 GMT+03:00 2022","9880","","com.igorsbox.ForwardCDEKClient.ForwardCDEKPageObjectTest","","com.igorsbox.ForwardCDEKClient.ForwardCDEKPageObjectTest","deleteRecipient","Удаление получателя",""
"passed","Tue Nov 22 17:18:08 GMT+03:00 2022","Tue Nov 22 17:18:29 GMT+03:00 2022","20944","","com.igorsbox.ForwardCDEKClient.ForwardCDEKPageObjectTest","","com.igorsbox.ForwardCDEKClient.ForwardCDEKPageObjectTest","sendPackageByClient","Заявка на отправку посылки (обычная, со статусом ""На складе"")",""
"passed","Tue Nov 22 17:17:38 GMT+03:00 2022","Tue Nov 22 17:17:49 GMT+03:00 2022","10356","","com.igorsbox.ForwardCDEKClient.ForwardCDEKPageObjectTest","","com.igorsbox.ForwardCDEKClient.ForwardCDEKPageObjectTest","deleteAddress","Удаление адреса доставки",""
"passed","Tue Nov 22 17:17:56 GMT+03:00 2022","Tue Nov 22 17:18:08 GMT+03:00 2022","12089","","com.igorsbox.ForwardCDEKClient.ForwardCDEKPageObjectTest","","com.igorsbox.ForwardCDEKClient.ForwardCDEKPageObjectTest","registrationIncomingPackage","Регистрация входящей посылки",""
"passed","Tue Nov 22 17:18:42 GMT+03:00 2022","Tue Nov 22 17:18:57 GMT+03:00 2022","14479","","com.igorsbox.ForwardCDEKClient.ForwardCDEKPageObjectTest","","com.igorsbox.ForwardCDEKClient.ForwardCDEKPageObjectTest","checkingOutgoingPackage","Проверка исходящей посылки",""
"passed","Tue Nov 22 17:16:18 GMT+03:00 2022","Tue Nov 22 17:16:27 GMT+03:00 2022","8669","","com.igorsbox.ForwardCDEKClient.ForwardCDEKPageObjectTest","","com.igorsbox.ForwardCDEKClient.ForwardCDEKPageObjectTest","wrongAuthorizationClient","Авторизация клиента ошибочная",""
"passed","Tue Nov 22 17:17:49 GMT+03:00 2022","Tue Nov 22 17:17:56 GMT+03:00 2022","7568","","com.igorsbox.ForwardCDEKClient.ForwardCDEKPageObjectTest","","com.igorsbox.ForwardCDEKClient.ForwardCDEKPageObjectTest","successfulAuthorizationOperator","Авторизация оператора",""
"passed","Tue Nov 22 17:17:00 GMT+03:00 2022","Tue Nov 22 17:17:13 GMT+03:00 2022","13016","","com.igorsbox.ForwardCDEKClient.ForwardCDEKPageObjectTest","","com.igorsbox.ForwardCDEKClient.ForwardCDEKPageObjectTest","addRecipient","Добавление получателя",""
"passed","Tue Nov 22 17:17:22 GMT+03:00 2022","Tue Nov 22 17:17:38 GMT+03:00 2022","15919","","com.igorsbox.ForwardCDEKClient.ForwardCDEKPageObjectTest","","com.igorsbox.ForwardCDEKClient.ForwardCDEKPageObjectTest","addAddress","Добавление адреса доставки",""
"passed","Tue Nov 22 17:18:57 GMT+03:00 2022","Tue Nov 22 17:19:09 GMT+03:00 2022","12218","","com.igorsbox.ForwardCDEKClient.ForwardCDEKPageObjectTest","","com.igorsbox.ForwardCDEKClient.ForwardCDEKPageObjectTest","registeringOutgoingPackage","Регистрация исходящей посылки",""
"passed","Tue Nov 22 17:19:09 GMT+03:00 2022","Tue Nov 22 17:19:22 GMT+03:00 2022","12790","","com.igorsbox.ForwardCDEKClient.ForwardCDEKPageObjectTest","","com.igorsbox.ForwardCDEKClient.ForwardCDEKPageObjectTest","formingOutgoingPackage","Формирование исходящей посылки","Принятая в обработку исходящая посылка, но не собранная и не зарегистрированная находится в списке Исходящие посылки на формировании (вкладка Формирование)"
